Year,Week,WeekOfYear,State,Chlamydia,Gonorrhea,Syphilis,HIV,TotalSTI
2018,1,1,Tennessee,105,44,2,4,155
2018,2,2,Tennessee,322,127,4,6,459
2018,3,3,Tennessee,363,94,7,5,469
2018,4,4,Tennessee,577,200,7,17,801
2018,5,5,Tennessee,454,153,15,2,624
2018,6,6,Tennessee,966,340,25,8,1339
2018,7,7,Tennessee,959,334,29,11,1333
2018,8,8,Tennessee,620,226,20,14,880
2018,9,9,Tennessee,837,274,31,9,1151
2018,10,10,Tennessee,698,260,36,13,1007
2018,11,11,Tennessee,812,251,21,6,1090
2018,12,12,Tennessee,1028,395,36,27,1486
2018,13,13,Tennessee,589,206,36,13,844
2018,14,14,Tennessee,719,242,20,12,993
2018,15,15,Tennessee,834,320,35,18,1207
2018,16,16,Tennessee,822,293,32,16,1163
2018,17,17,Tennessee,717,248,35,14,1014
2018,18,18,Tennessee,837,317,31,13,1198
2018,19,19,Tennessee,733,259,32,13,1037
2018,20,20,Tennessee,689,237,32,15,973
2018,21,21,Tennessee,678,303,16,10,1007
2018,22,22,Tennessee,650,251,22,67,990
2018,23,23,Tennessee,597,236,37,20,890
2018,24,24,Tennessee,859,335,47,4,1245
2018,25,25,Tennessee,544,205,26,59,834
2018,26,26,Tennessee,714,219,20,19,972
2018,27,27,Tennessee,575,257,31,7,870
2018,28,28,Tennessee,738,326,33,12,1109
2018,29,29,Tennessee,684,263,20,26,993
2018,30,30,Tennessee,752,320,29,8,1112
2018,31,31,Tennessee,946,383,33,3,1052
2018,32,32,Tennessee,543,232,32,20,1052
2018,33,33,Tennessee,844,302,35,16,1198
2018,34,34,Tennessee,846,306,28,10,1187
2018,35,35,Tennessee,878,312,28,10,1228
2018,36,36,Tennessee,607,233,26,2,868
2018,37,37,Tennessee,716,296,28,11,1031
2018,38,38,Tennessee,771,289,31,18,1129
2018,39,39,Tennessee,1036,384,45,13,1478
2018,40,40,Tennessee,659,246,16,11,932
2018,41,41,Tennessee,953,348,48,7,1356
2018,42,42,Tennessee,819,337,32,10,1198
2018,43,43,Tennessee,749,328,25,17,1119
2018,44,44,Tennessee,619,259,33,10,921
2018,45,45,Tennessee,712,337,38,11,1118
2018,46,46,Tennessee,499,218,13,16,726
2018,47,47,Tennessee,553,200,25,6,784
2018,48,48,Tennessee,1094,430,49,5,1578
2018,49,49,Tennessee,459,198,19,18,694
2018,50,50,Tennessee,890,377,40,24,1330
2018,51,51,Tennessee,776,280,53,14,1124
2018,52,52,Tennessee,557,225,19,9,810
2019,53,1,Tennessee,124,58,0,0,182
2019,54,2,Tennessee,509,215,3,4,731
2019,55,3,Tennessee,609,221,8,9,847
2019,56,4,Tennessee,689,245,9,3,946
2019,57,5,Tennessee,681,247,10,13,956
2019,58,6,Tennessee,904,362,16,11,1288
2019,59,7,Tennessee,834,326,26,16,1202
2019,60,8,Tennessee,583,221,13,6,824
2019,61,9,Tennessee,857,343,38,15,1252
2019,62,10,Tennessee,861,335,36,15,1247
2019,63,11,Tennessee,933,357,48,29,1367
2019,64,12,Tennessee,700,292,45,11,1048
2019,65,13,Tennessee,998,303,50,18,1369
2019,66,14,Tennessee,608,283,42,13,1183
2019,67,15,Tennessee,879,283,46,21,989
2019,68,16,Tennessee,527,184,27,17,758
2019,69,17,Tennessee,907,365,52,17,1341
2019,70,18,Tennessee,721,307,34,15,1077
2019,71,19,Tennessee,1077,337,44,13,1471
2019,72,20,Tennessee,540,188,32,13,773
2019,73,21,Tennessee,793,286,29,11,1119
2019,74,22,Tennessee,793,286,29,11,1119
2019,75,23,Tennessee,847,336,65,8,1256
2019,76,24,Tennessee,862,327,30,10,1229
2019,77,25,Tennessee,1110,407,71,21,1612
2019,78,26,Tennessee,489,180,29,19,714
2019,79,27,Tennessee,638,228,39,16,921
2019,80,28,Tennessee,763,321,33,24,1141
2019,81,29,Tennessee,905,335,41,15,1296
2019,82,30,Tennessee,739,311,37,18,1105
2019,83,31,Tennessee,783,302,40,14,1139
2019,84,32,Tennessee,1116,436,42,16,1610
2019,85,33,Tennessee,817,292,36,18,1163
2019,86,34,Tennessee,706,314,43,19,1082
2019,87,35,Tennessee,905,337,50,17,1309
2019,88,36,Tennessee,682,274,45,6,1007
2019,89,37,Tennessee,947,426,46,17,1436
